Ensembl.Gene.ID	Ensembl.Transcript.ID	Ensembl.Protein.ID	EntrezGene.ID	HGNC.symbol	Description	PSR.total	M7vM8_F61__alternative_model_kappa	M7vM8_F61__alternative_model_omega	M7vM8_F61__null_model_lnL	M7vM8_F61__alternative_model_lnL	M7vM8_F61__LRT_statistic	M7vM8_F61__LRT_P_value_full	M7vM8_F61__LRT_P_value_log10	M7vM8_F61__LRT_P_value_bonf	M7vM8_F61__LRT_P_value_bh	M7vM8_F3X4__alternative_model_kappa	M7vM8_F3X4__alternative_model_omega	M7vM8_F3X4__null_model_lnL	M7vM8_F3X4__alternative_model_lnL	M7vM8_F3X4__LRT_statistic	M7vM8_F3X4__LRT_P_value_full	M7vM8_F3X4__LRT_P_value_log10	M7vM8_F3X4__LRT_P_value_bonf	M7vM8_F3X4__LRT_P_value_bh	M1avM2a_F61__alternative_model_kappa	M1avM2a_F61__alternative_model_omega	M1avM2a_F61__null_model_lnL	M1avM2a_F61__alternative_model_lnL	M1avM2a_F61__LRT_statistic	M1avM2a_F61__LRT_P_value_full	M1avM2a_F61__LRT_P_value_log10	M1avM2a_F61__LRT_P_value_bonf	M1avM2a_F61__LRT_P_value_bh	M1avM2a_F3X4__alternative_model_kappa	M1avM2a_F3X4__alternative_model_omega	M1avM2a_F3X4__null_model_lnL	M1avM2a_F3X4__alternative_model_lnL	M1avM2a_F3X4__LRT_statistic	M1avM2a_F3X4__LRT_P_value_full	M1avM2a_F3X4__LRT_P_value_log10	M1avM2a_F3X4__LRT_P_value_bonf	M1avM2a_F3X4__LRT_P_value_bh
ENSG00000021852	ENST00000371237	ENSP00000360281	732	C8B	complement component 8, beta polypeptide [Source:HGNC Symbol;Acc:HGNC:1353]	1	8.70918	4.01095	-3659.267805	-3652.047454	14.4407019999999	0.000731546	-3.13575836001296	1	0.00304700991591592	8.80423	4.22735	-3696.02742	-3689.17877	13.6972999999998	0.001060887	-2.97433087235689	1	0.00437118535165243	8.70913	4.00438	-3659.250861	-3652.04674	14.4082419999995	0.000743515	-3.12871026540495	1	0.00316519039509014	8.80434	4.19217	-3696.00047	-3689.1779	13.6451399999996	0.001088919	-2.96300442434098	1	0.00461712743141001
ENSG00000026103	ENST00000355740	ENSP00000347979	355	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	3	4.6729	10.81623	-2368.315909	-2351.195954	34.2399100000002	3.7e-08	-7.43179827593301	0.000410552	2.99236151603499e-07	4.58919	10.95211	-2414.705539	-2399.043508	31.3240619999997	1.58e-07	-6.80134291304558	0.001753168	1.18939484396201e-06	4.6826	11.25709	-2368.199068	-2351.15243	34.0932759999996	4e-08	-7.39794000867204	0.00044384	3.31223880597015e-07	4.69494	11.70336	-2414.658187	-2399.010084	31.296206	1.6e-07	-6.79588001734407	0.00177536	1.24586666666667e-06
ENSG00000026751	ENST00000368043	ENSP00000357022	57823	SLAMF7	SLAM family member 7 [Source:HGNC Symbol;Acc:HGNC:21394]	1	5.36227	5.6423	-2425.381826	-2417.149459	16.4647339999992	0.000265906	-3.57527186297873	1	0.00120526673856209	5.28666	5.79112	-2468.534815	-2459.26028	18.54907	9.3782e-05	-4.02788050971082	1	0.000468741023423423	5.36209	5.63241	-2425.376719	-2417.146025	16.4613879999997	0.000266351	-3.57454566834164	1	0.00122631979087137	5.28659	5.7832	-2468.477224	-2459.256451	18.441546	9.8962e-05	-4.0045315362954	1	0.000507431770794824
ENSG00000043514	ENST00000316891	ENSP00000321810	54802	TRIT1	tRNA isopentenyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:20286]	1	4.61568	88.73206	-2576.986089	-2566.994543	19.9830920000004	4.5785e-05	-4.3392767814772	0.50803036	0.000236073587360595	4.73192	47.66215	-2603.254849	-2593.570126	19.3694459999997	6.2227e-05	-4.20602113610137	0.690470792	0.00031892415334873	4.5944	87.77567	-2576.908196	-2566.922584	19.9712239999999	4.6058e-05	-4.3366949245529	0.511059568	0.000243942514558473	4.72704	48.01459	-2603.178907	-2593.507928	19.341958	6.3088e-05	-4.20005324027085	0.700024448	0.000333662749285033
ENSG00000046774	ENST00000247452	ENSP00000354660	51438	MAGEC2	melanoma antigen family C, 2 [Source:HGNC Symbol;Acc:HGNC:13574]	5	2.81679	5.60342	-2788.53479	-2766.312492	44.4445960000003	0	-Inf	0	0	3.04834	5.8684	-2863.308052	-2841.981948	42.6522079999995	1e-09	-9	1.1096e-05	9.78483245149912e-09	2.81793	5.6704	-2787.775551	-2766.31336	42.9243820000002	0	-Inf	0	0	3.04983	5.99088	-2863.247563	-2841.987656	42.5198140000002	1e-09	-9	1.1096e-05	1.04090056285178e-08
ENSG00000049883	ENST00000380639	ENSP00000370013	79810	PTCD2	pentatricopeptide repeat domain 2 [Source:HGNC Symbol;Acc:HGNC:25734]	1	4.7218	6.34317	-2564.584487	-2557.188599	14.791776	0.000613771	-3.21199363535273	1	0.00259542797865854	4.6641	5.5414	-2607.548	-2600.743614	13.6087719999996	0.001108901	-2.95510722488141	1	0.00454874879704251	4.71525	6.63182	-2564.40259	-2557.109565	14.5860499999999	0.000680267	-3.16732059631198	1	0.00292454189538938	4.67326	6.23363	-2607.379972	-2600.642163	13.4756180000004	0.001185241	-2.9261933337649	1	0.00497971758273381
ENSG00000050344	ENST00000056233	ENSP00000056233	9603	NFE2L3	nuclear factor, erythroid 2-like 3 [Source:HGNC Symbol;Acc:HGNC:7783]	1	3.62913	4.28373	-4750.84913	-4743.668444	14.3613719999994	0.000761146	-3.11853203059772	1	0.00315608221823617	3.74106	4.16518	-4794.354617	-4787.73341	13.2424140000003	0.001331822	-2.87555381539355	1	0.00538749431717098	3.62883	4.4802	-4750.710193	-4743.663938	14.0925100000004	0.000870663	-3.06014991107886	1	0.00365526925766175	3.7409	4.26156	-4794.241413	-4787.732706	13.0174139999999	0.001490406	-2.82669540974785	1	0.00615465015854112
ENSG00000055955	ENST00000266041	ENSP00000266041	3700	ITIH4	inter-alpha-trypsin inhibitor heavy chain family, member 4 [Source:HGNC Symbol;Acc:HGNC:6169]	2	4.76281	43.51741	-6174.162585	-6162.863587	22.5979960000004	1.2385e-05	-4.90710398907814	0.13742396	7.06913374485597e-05	4.70071	43.56639	-6319.067618	-6308.107089	21.9210579999999	1.7374e-05	-4.76010018282303	0.192781904	9.79085342813611e-05	4.73999	43.06917	-6173.680136	-6162.506296	22.3476800000008	1.4037e-05	-4.85272570008816	0.155754552	8.13764639498433e-05	4.70364	43.89677	-6319.054477	-6308.08247	21.9440139999988	1.7176e-05	-4.76507796857181	0.190584896	9.96261871406168e-05
ENSG00000062096	ENST00000381127	ENSP00000370519	416	ARSF	arylsulfatase F [Source:HGNC Symbol;Acc:HGNC:721]	1	3.94881	6.22249	-3926.747926	-3919.569825	14.3562019999999	0.000763116	-3.11740944064177	1	0.00316306878446022	4.02334	7.9011	-3967.651647	-3959.669867	15.9635600000001	0.000341631	-3.46644272780127	1	0.00154345992508143	3.94582	6.51185	-3926.175096	-3919.529054	13.2920839999997	0.001299154	-2.88633936518098	1	0.00524960407283321	4.00993	3.93119	-3966.799258	-3960.422192	12.754132	0.001700104	-2.76952451083078	1	0.00695331882934021
ENSG00000063127	ENST00000335875	ENSP00000338627	28968	SLC6A16	solute carrier family 6, member 16 [Source:HGNC Symbol;Acc:HGNC:13622]	1	4.74577	5.75637	-4781.450036	-4770.025671	22.8487299999997	1.0926e-05	-4.96153880382144	0.121234896	6.29138017644006e-05	4.47353	5.36558	-4840.197494	-4828.39415	23.6066879999998	7.48e-06	-5.12609840213554	0.08299808	4.45507675791734e-05	4.74801	5.84907	-4781.360983	-4770.024343	22.6732799999991	1.1928e-05	-4.92343236955506	0.132353088	6.98064810126582e-05	4.47432	5.40109	-4839.886114	-4828.393932	22.9843639999999	1.021e-05	-4.99097425791309	0.11329016	6.13373903627504e-05
ENSG00000068985	ENST00000376150	ENSP00000365320	8712	PAGE1	P antigen family, member 1 (prostate associated) [Source:HGNC Symbol;Acc:HGNC:4107]	6	3.06377	9.30402	-1091.679132	-1069.733848	43.8905679999998	0	-Inf	0	0	2.96894	7.00572	-1118.339549	-1099.980488	36.7181220000002	1.1e-08	-7.95860731484177	0.000122056	9.54308053166536e-08	3.06404	9.41312	-1089.346388	-1069.733254	39.2262679999999	3e-09	-8.52287874528034	3.3288e-05	2.92513181019332e-08	2.96841	7.20713	-1115.105458	-1099.977683	30.2555499999999	2.69e-07	-6.57024771999759	0.002984824	2.02773369565217e-06
ENSG00000069974	ENST00000396307	ENSP00000379601	5873	RAB27A	RAB27A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9766]	1	11.66169	12.79554	-1105.327704	-1096.035897	18.5836140000001	9.2176e-05	-4.03538214211755	1	0.00045276002478973	10.82029	9.87739	-1137.510211	-1129.194593	16.6312360000002	0.000244666	-3.61142637816892	1	0.00112835159434746	11.62572	13.6087	-1105.078898	-1096.031315	18.0951660000001	0.000117675	-3.92931579302136	1	0.000577497478991597	10.79695	10.24706	-1137.267614	-1129.179871	16.1754860000001	0.000307283	-3.51246146581071	1	0.00144720380645161
ENSG00000071203	ENST00000016913	ENSP00000016913	54860	MS4A12	membrane-spanning 4-domains, subfamily A, member 12 [Source:HGNC Symbol;Acc:HGNC:13370]	15	4.28263	22.50907	-2327.141671	-2251.457313	151.368716	0	-Inf	0	0	4.04907	23.66194	-2382.604184	-2308.857666	147.493036	0	-Inf	0	0	4.28265	22.50904	-2318.958656	-2251.457313	135.002686	0	-Inf	0	0	4.04909	23.66217	-2373.679441	-2308.857666	129.643550000001	0	-Inf	0	0
ENSG00000075218	ENST00000454366	ENSP00000415430	51512	GTSE1	G-2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:HGNC:13698]	1	4.84187	4.10586	-5397.571787	-5389.244868	16.6538380000002	0.000241916	-3.61633540703326	1	0.00110192936617406	5.31475	4.04398	-5463.89445	-5457.782084	12.2247319999988	0.002215303	-2.65456686437168	1	0.00857975640069808	4.84118	4.49589	-5397.565478	-5389.149729	16.8314980000014	0.000221354	-3.65491262565156	1	0.00103286122119428	5.31353	4.28419	-5463.894037	-5457.742372	12.3033300000006	0.002129932	-2.67163426158294	1	0.00854034025722543
ENSG00000077238	ENST00000395762	ENSP00000379111	3566	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	3	5.03162	6.47768	-6105.076444	-6088.942461	32.2679660000013	9.8e-08	-7.0087739243075	0.001087408	7.53052631578947e-07	4.88686	5.95829	-6219.20272	-6205.807762	26.7899159999997	1.523e-06	-5.81730009666396	0.016899208	1.00890794029851e-05	5.03236	6.84204	-6104.218233	-6088.916008	30.6044499999989	2.26e-07	-6.6458915608526	0.002507696	1.68076139410188e-06	4.89251	6.48035	-6218.083007	-6205.771112	24.6237899999996	4.498e-06	-5.34698054890039	0.049909808	2.87498894009217e-05
ENSG00000079263	ENST00000392045	ENSP00000375899	11262	SP140	SP140 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:17133]	2	4.16115	3.75821	-5300.12013	-5286.400902	27.4384559999999	1.101e-06	-5.95821268102825	0.012216696	7.32855188962208e-06	4.32438	3.254	-5359.310138	-5346.821474	24.977327999999	3.769e-06	-5.4237738625504	0.041820824	2.35345098480585e-05	4.16148	3.76619	-5299.674449	-5286.398394	26.5521100000005	1.715e-06	-5.76573587562121	0.01902964	1.140182144997e-05	4.32451	3.36778	-5358.637894	-5346.810835	23.6541180000004	7.304e-06	-5.13643923547376	0.081045184	4.50251022222222e-05
ENSG00000081237	ENST00000442510	ENSP00000411355	5788	PTPRC	protein tyrosine phosphatase, receptor type, C [Source:HGNC Symbol;Acc:HGNC:9666]	26	2.88186	6.94303	-9538.066073	-9420.410063	235.312020000001	0	-Inf	0	0	2.94849	8.04423	-9591.365699	-9486.584999	209.561399999999	0	-Inf	0	0	2.8838	7.29758	-9516.704272	-9419.825006	193.758532000003	0	-Inf	0	0	2.92516	7.41739	-9589.986138	-9486.176326	207.619623999999	0	-Inf	0	0
ENSG00000085063	ENST00000395850	ENSP00000379191	966	CD59	CD59 molecule, complement regulatory protein [Source:HGNC Symbol;Acc:HGNC:1689]	15	4.5561	15.61838	-1148.651867	-1100.904345	95.4950440000002	0	-Inf	0	0	3.87621	11.53201	-1157.580539	-1122.979023	69.2030319999999	0	-Inf	0	0	4.55589	15.61269	-1141.977487	-1100.903455	82.1480640000004	0	-Inf	0	0	3.87607	11.52801	-1157.545622	-1122.978143	69.1349580000001	0	-Inf	0	0
ENSG00000085563	ENST00000622132	ENSP00000478255	5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1 [Source:HGNC Symbol;Acc:HGNC:40]	3	3.43933	7.1092	-7250.772003	-7223.798909	53.9461879999999	0	-Inf	0	0	3.35825	8.37067	-7389.294021	-7363.238584	52.110874	0	-Inf	0	0	3.43847	7.22619	-7249.396978	-7223.782895	51.228165999999	0	-Inf	0	0	3.35878	8.48243	-7387.105129	-7363.23642	47.7374179999988	0	-Inf	0	0
ENSG00000087074	ENST00000200453	ENSP00000200453	23645	PPP1R15A	protein phosphatase 1, regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	2	3.99543	7.81179	-4491.372293	-4471.273225	40.1981360000009	2e-09	-8.69897000433602	2.2192e-05	1.88868085106383e-08	4.59849	7.89586	-4575.725859	-4558.725806	34.0001059999995	4.1e-08	-7.38721614328026	0.000454936	3.33530791788856e-07	3.98878	9.18622	-4491.364137	-4471.010008	40.7082579999988	1e-09	-9	1.1096e-05	1.02740740740741e-08	4.58728	7.59084	-4575.719018	-4558.707359	34.0233179999996	4.1e-08	-7.38721614328026	0.000454936	3.44648484848485e-07
ENSG00000087460	ENST00000371100	ENSP00000360141	2778	GNAS	GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]	1	5.0902	17.95515	-5636.785825	-5624.220596	25.1304579999996	3.491e-06	-5.45705015118582	0.038736136	2.15200755555556e-05	4.98726	19.63622	-5776.176854	-5765.703492	20.9467240000013	2.828e-05	-4.54852059487514	0.31379488	0.000153369931573803	5.04208	17.92439	-5636.359721	-5624.030245	24.6589519999998	4.42e-06	-5.35457773065091	0.04904432	2.7615045045045e-05	5.01471	21.49544	-5775.934256	-5765.363312	21.1418879999983	2.5651e-05	-4.59089569932346	0.284623496	0.000144625760162602
ENSG00000088888	ENST00000428216	ENSP00000401980	57506	MAVS	mitochondrial antiviral signaling protein [Source:HGNC Symbol;Acc:HGNC:29233]	1	4.94624	3.72967	-3584.444684	-3576.871152	15.1470639999998	0.000513874	-3.28914335534884	1	0.00220407649942018	4.7909	3.2032	-3660.376912	-3652.420542	15.9127400000007	0.000350423	-3.455407396667	1	0.00158124994225295	4.94702	3.86939	-3584.230217	-3576.849139	14.7621559999998	0.000622929	-3.20556145039604	1	0.002700007884375	4.79201	3.39475	-3660.36906	-3652.414374	15.9093720000001	0.000351013	-3.45467679885123	1	0.00163717538797814
ENSG00000089127	ENST00000445409	ENSP00000388001	4938	OAS1	2-5-oligoadenylate synthetase 1, 40/46kDa [Source:HGNC Symbol;Acc:HGNC:8086]	12	4.86183	5.30694	-2689.127347	-2654.402847	69.4490000000005	0	-Inf	0	0	4.78276	5.13872	-2746.059058	-2714.115086	63.8879440000001	0	-Inf	0	0	4.85991	5.23976	-2687.117602	-2654.400912	65.4333799999995	0	-Inf	0	0	4.7849	5.20554	-2744.534762	-2714.110252	60.8490199999997	0	-Inf	0	0
ENSG00000090402	ENST00000264382	ENSP00000264382	6476	SI	sucrase-isomaltase (alpha-glucosidase) [Source:HGNC Symbol;Acc:HGNC:10856]	8	3.07241	10.76192	-11236.031118	-11190.681039	90.7001580000033	0	-Inf	0	0	3.14472	9.49873	-11393.492014	-11347.038115	92.9077980000002	0	-Inf	0	0	3.0977	12.27366	-11234.067731	-11189.134145	89.8671719999984	0	-Inf	0	0	3.1513	10.93355	-11390.758954	-11345.631656	90.2545960000025	0	-Inf	0	0
ENSG00000090512	ENST00000265029	ENSP00000265029	26998	FETUB	fetuin B [Source:HGNC Symbol;Acc:HGNC:3658]	2	4.56949	6.6209	-2824.922383	-2809.491168	30.8624300000001	1.99e-07	-6.70114692359029	0.002208104	1.4642599469496e-06	4.66253	6.37564	-2869.321942	-2853.800744	31.0423959999998	1.82e-07	-6.73992861201492	0.002019472	1.35444131455399e-06	4.56828	6.5496	-2824.182486	-2809.491522	29.3819280000007	4.17e-07	-6.37986394502624	0.004627032	3.02420392156863e-06	4.66187	6.32231	-2868.489069	-2853.800677	29.376784	4.18e-07	-6.37882371822496	0.004638128	3.08181262458472e-06
ENSG00000091128	ENST00000388781	ENSP00000373433	22798	LAMB4	laminin, beta 4 [Source:HGNC Symbol;Acc:HGNC:6491]	3	4.62631	7.61668	-10905.843164	-10878.692208	54.301911999999	0	-Inf	0	0	4.71224	5.7743	-11026.008618	-11001.05087	49.9154960000014	0	-Inf	0	0	4.62752	7.75656	-10905.677785	-10878.699917	53.9557359999999	0	-Inf	0	0	4.7119	5.74128	-11025.127323	-11001.0555	48.1436460000004	0	-Inf	0	0
ENSG00000091138	ENST00000340010	ENSP00000345873	1811	SLC26A3	solute carrier family 26 (anion exchanger), member 3 [Source:HGNC Symbol;Acc:HGNC:3018]	11	3.61571	10.36586	-5237.311958	-5165.315537	143.992842	0	-Inf	0	0	3.534	10.36187	-5296.04144	-5223.056328	145.970224000001	0	-Inf	0	0	3.61672	10.56298	-5237.311518	-5165.194118	144.2348	0	-Inf	0	0	3.53642	10.5812	-5296.035189	-5222.987753	146.094872	0	-Inf	0	0
ENSG00000091317	ENST00000205636	ENSP00000205636	54918	CMTM6	CKLF-like MARVEL transmembrane domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19177]	1	2.06945	6.02909	-1183.533549	-1177.027301	13.0124959999998	0.001494075	-2.82562760113602	1	0.00581897374517375	2.21114	5.97668	-1217.43662	-1211.671201	11.5308379999997	0.003134082	-2.50388964485478	1	0.0117366769733378	2.06757	6.24604	-1182.56828	-1177.023166	11.090228	0.003906498	-2.40821239369901	1	0.0142775038893281	2.20823	7.82886	-1217.435581	-1211.551772	11.7676179999999	0.00278416	-2.55530581032569	1	0.010881662331807
ENSG00000091513	ENST00000402696	ENSP00000385834	7018	TF	transferrin [Source:HGNC Symbol;Acc:HGNC:11740]	5	3.31383	10.61191	-4547.409133	-4516.003746	62.8107739999996	0	-Inf	0	0	3.4797	10.20572	-4604.118322	-4573.715527	60.8055899999999	0	-Inf	0	0	3.30923	10.5311	-4547.333209	-4515.973449	62.7195200000006	0	-Inf	0	0	3.4728	10.08172	-4604.117387	-4573.665698	60.9033780000009	0	-Inf	0	0
ENSG00000099330	ENST00000215061	ENSP00000215061	79629	OCEL1	occludin/ELL domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26221]	1	4.24582	9.38853	-1619.480693	-1610.810035	17.341316	0.000171546	-3.76561940409094	1	0.000800451814970563	4.3442	9.68211	-1657.887459	-1648.753618	18.2676820000001	0.00010795	-3.96677735332975	1	0.000530945567375887	4.24509	9.36915	-1619.302962	-1610.806495	16.9929339999999	0.000204188	-3.68996978471198	1	0.000959216785774767	4.34398	9.66158	-1657.623571	-1648.744461	17.7582200000002	0.000139268	-3.85614866117779	1	0.000693278478241364
ENSG00000099338	ENST00000409235	ENSP00000386962	57828	CATSPERG	catsper channel auxiliary subunit gamma [Source:HGNC Symbol;Acc:HGNC:25243]	1	3.27157	5.69197	-8056.255513	-8048.363456	15.784114	0.0003737	-3.42747690215036	1	0.00164742757250695	3.33174	5.75898	-8196.530719	-8187.994252	17.0729339999998	0.000196182	-3.70734084231432	1	0.000918883694385817	3.26835	6.1256	-8055.653408	-8048.256315	14.794186000001	0.000613032	-3.21251685490949	1	0.00266335280814409	3.32856	6.12025	-8196.245579	-8187.87481	16.7415380000002	0.000231537	-3.63537959811539	1	0.0011088194009495
ENSG00000099812	ENST00000215582	ENSP00000215582	126353	MISP	mitotic spindle positioning [Source:HGNC Symbol;Acc:HGNC:27000]	1	5.93161	4.83623	-5501.715632	-5496.276018	10.8792280000016	0.004341159	-2.36239430732923	1	0.01541424008448	5.78869	4.05365	-5582.038678	-5577.130153	9.81704999999965	0.007383371	-2.13174530857812	1	0.0255459571612099	5.93461	5.2122	-5501.424607	-5496.365745	10.1177239999997	0.006352785	-2.19703584242857	1	0.0220904112691946	5.78995	4.32272	-5581.955526	-5577.192037	9.52697799999987	0.008535776	-2.06875699040181	1	0.0300104469252218
