Ensembl.Gene.ID	Ensembl.Transcript.ID	Ensembl.Protein.ID	EntrezGene.ID	HGNC.symbol	Description	aPSR.total	human.sequence.length	protein.alignment.length	branch.length.ratio.longest.average	aPSG.with.3ormore.aPSR.and.all.aPSR.within.single.exon	Artefact	Artefact.classification
ENSG00000069974	ENST00000396307	ENSP00000379601	5873	RAB27A	RAB27A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9766]	1	221	221	3.21217803341971	0	0	
ENSG00000071203	ENST00000016913	ENSP00000016913	54860	MS4A12	membrane-spanning 4-domains, subfamily A, member 12 [Source:HGNC Symbol;Acc:HGNC:13370]	15	267	269	3.3610517655492	0	0	
ENSG00000071564	ENST00000262965	ENSP00000262965	6929	TCF3	transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11633]	4	654	1065	2.60675131314194	1	1	2
ENSG00000072210	ENST00000339618	ENSP00000345774	224	ALDH3A2	aldehyde dehydrogenase 3 family, member A2 [Source:HGNC Symbol;Acc:HGNC:403]	1	508	566	3.07595479088578	0	1	2 3b
ENSG00000075142	ENST00000265729	ENSP00000265729	6717	SRI	sorcin [Source:HGNC Symbol;Acc:HGNC:11292]	1	198	199	4.33255804786204	0	1	2 3a
ENSG00000075218	ENST00000454366	ENSP00000415430	51512	GTSE1	G-2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:HGNC:13698]	1	739	752	4.06418030121035	0	0	
ENSG00000075415	ENST00000228318	ENSP00000228318	5250	SLC25A3	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3 [Source:HGNC Symbol;Acc:HGNC:10989]	1	362	375	6.0620269842474	0	1	2
ENSG00000077238	ENST00000395762	ENSP00000379111	3566	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	3	825	905	2.83929706015382	0	0	
ENSG00000079263	ENST00000392045	ENSP00000375899	11262	SP140	SP140 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:17133]	2	867	1074	3.24231997125555	0	0	
ENSG00000081189	ENST00000340208	ENSP00000340874	4208	MEF2C	myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996]	4	483	508	3.6894928733327	1	1	2
ENSG00000081237	ENST00000442510	ENSP00000411355	5788	PTPRC	protein tyrosine phosphatase, receptor type, C [Source:HGNC Symbol;Acc:HGNC:9666]	26	1306	1447	3.38058155055599	0	0	
ENSG00000085063	ENST00000395850	ENSP00000379191	966	CD59	CD59 molecule, complement regulatory protein [Source:HGNC Symbol;Acc:HGNC:1689]	15	128	128	3.92490441672367	0	0	
ENSG00000085563	ENST00000622132	ENSP00000478255	5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1 [Source:HGNC Symbol;Acc:HGNC:40]	3	1280	1293	2.84135404706156	0	0	
ENSG00000087074	ENST00000200453	ENSP00000200453	23645	PPP1R15A	protein phosphatase 1, regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	2	674	731	3.53126668392786	0	0	
ENSG00000087460	ENST00000371100	ENSP00000360141	2778	GNAS	GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]	1	1037	1136	2.83893066615175	0	0	
ENSG00000088888	ENST00000428216	ENSP00000401980	57506	MAVS	mitochondrial antiviral signaling protein [Source:HGNC Symbol;Acc:HGNC:29233]	1	540	762	3.60419597559783	0	0	
ENSG00000089127	ENST00000445409	ENSP00000388001	4938	OAS1	2-5-oligoadenylate synthetase 1, 40/46kDa [Source:HGNC Symbol;Acc:HGNC:8086]	12	414	781	3.79409325638093	0	0	
ENSG00000089327	ENST00000342879	ENSP00000344254	53827	FXYD5	FXYD domain containing ion transport regulator 5 [Source:HGNC Symbol;Acc:HGNC:4029]	2	178	210	5.28154667983317	0	1	2
ENSG00000089356	ENST00000604255	ENSP00000473929	5349	FXYD3	FXYD domain containing ion transport regulator 3 [Source:HGNC Symbol;Acc:HGNC:4027]	4	144	148	3.93950587458728	1	1	2 3b
ENSG00000090402	ENST00000264382	ENSP00000264382	6476	SI	sucrase-isomaltase (alpha-glucosidase) [Source:HGNC Symbol;Acc:HGNC:10856]	8	1827	2176	3.46950606818102	0	0	
ENSG00000090512	ENST00000265029	ENSP00000265029	26998	FETUB	fetuin B [Source:HGNC Symbol;Acc:HGNC:3658]	2	382	389	3.52879097717327	0	0	
ENSG00000091128	ENST00000388781	ENSP00000373433	22798	LAMB4	laminin, beta 4 [Source:HGNC Symbol;Acc:HGNC:6491]	3	1761	1819	3.07206638721882	0	0	
ENSG00000091138	ENST00000340010	ENSP00000345873	1811	SLC26A3	solute carrier family 26 (anion exchanger), member 3 [Source:HGNC Symbol;Acc:HGNC:3018]	11	764	807	2.9436387264128	0	0	
ENSG00000091317	ENST00000205636	ENSP00000205636	54918	CMTM6	CKLF-like MARVEL transmembrane domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19177]	1	183	184	3.76245319237471	0	0	
ENSG00000091513	ENST00000402696	ENSP00000385834	7018	TF	transferrin [Source:HGNC Symbol;Acc:HGNC:11740]	5	698	934	3.13293051904543	0	0	
ENSG00000095139	ENST00000264028	ENSP00000264028	372	ARCN1	archain 1 [Source:HGNC Symbol;Acc:HGNC:649]	1	511	552	3.7589930696342	0	1	3a
ENSG00000099330	ENST00000215061	ENSP00000215061	79629	OCEL1	occludin/ELL domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26221]	1	264	336	3.4555474679595	0	0	
ENSG00000099338	ENST00000409235	ENSP00000386962	57828	CATSPERG	catsper channel auxiliary subunit gamma [Source:HGNC Symbol;Acc:HGNC:25243]	1	1159	1341	4.65586059312414	0	0	
ENSG00000099812	ENST00000215582	ENSP00000215582	126353	MISP	mitotic spindle positioning [Source:HGNC Symbol;Acc:HGNC:27000]	1	679	701	3.16652874904957	0	0	
ENSG00000100003	ENST00000615189	ENSP00000478755	23541	SEC14L2	SEC14-like 2 (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:10699]	2	403	412	3.42522471967702	0	1	2
ENSG00000100368	ENST00000403662	ENSP00000384053	1439	CSF2RB	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage) [Source:HGNC Symbol;Acc:HGNC:2436]	1	897	981	3.73080606376824	0	0	
ENSG00000100453	ENST00000216341	ENSP00000216341	3002	GZMB	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1) [Source:HGNC Symbol;Acc:HGNC:4709]	5	247	303	3.58915922010374	0	0	
ENSG00000100473	ENST00000396618	ENSP00000379862	1690	COCH	cochlin [Source:HGNC Symbol;Acc:HGNC:2180]	1	550	568	4.50932423016291	0	0	
ENSG00000100578	ENST00000354386	ENSP00000346359	9786	KIAA0586	KIAA0586 [Source:HGNC Symbol;Acc:HGNC:19960]	1	1644	1757	3.26547875979243	0	0	
ENSG00000100593	ENST00000342219	ENSP00000341490	145501	ISM2	isthmin 2 [Source:HGNC Symbol;Acc:HGNC:23176]	2	571	903	4.30893273282985	0	0	
ENSG00000100721	ENST00000402399	ENSP00000385036	8115	TCL1A	T-cell leukemia/lymphoma 1A [Source:HGNC Symbol;Acc:HGNC:11648]	2	114	135	3.92441146004533	0	0	
ENSG00000100867	ENST00000344777	ENSP00000344674	10202	DHRS2	dehydrogenase/reductase (SDR family) member 2 [Source:HGNC Symbol;Acc:HGNC:18349]	2	300	450	2.66213260501283	0	0	
ENSG00000100918	ENST00000620473	ENSP00000482546	9985	REC8	REC8 meiotic recombination protein [Source:HGNC Symbol;Acc:HGNC:16879]	5	547	722	2.75943123623611	0	0	
ENSG00000101203	ENST00000358894	ENSP00000351767	57642	COL20A1	collagen, type XX, alpha 1 [Source:HGNC Symbol;Acc:HGNC:14670]	2	1284	1639	3.33604994508483	0	0	
ENSG00000101347	ENST00000262878	ENSP00000262878	25939	SAMHD1	SAM domain and HD domain 1 [Source:HGNC Symbol;Acc:HGNC:15925]	3	626	627	3.987643240007	0	0	
ENSG00000101435	ENST00000376979	ENSP00000366178	128821	CST9L	cystatin 9-like [Source:HGNC Symbol;Acc:HGNC:16233]	22	147	147	9.63138046331476	0	1	1a
ENSG00000101751	ENST00000579534	ENSP00000462664	11201	POLI	polymerase (DNA directed) iota [Source:HGNC Symbol;Acc:HGNC:9182]	1	740	741	3.41867134864803	0	0	
ENSG00000101844	ENST00000372232	ENSP00000361306	115201	ATG4A	autophagy related 4A, cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:16489]	2	398	432	4.12517308707559	0	1	3a
ENSG00000101888	ENST00000218004	ENSP00000218004	55916	NXT2	nuclear transport factor 2-like export factor 2 [Source:HGNC Symbol;Acc:HGNC:18151]	4	197	198	4.33552908388631	0	0	
ENSG00000101916	ENST00000311912	ENSP00000312082	51311	TLR8	toll-like receptor 8 [Source:HGNC Symbol;Acc:HGNC:15632]	1	1059	1060	3.78993475794548	0	0	
ENSG00000102021	ENST00000371920	ENSP00000360988	51213	LUZP4	leucine zipper protein 4 [Source:HGNC Symbol;Acc:HGNC:24971]	4	313	421	4.15351632086032	0	0	
ENSG00000102387	ENST00000372907	ENSP00000361998	54457	TAF7L	TAF7-like RNA polymerase II, TATA box binding protein (TBP)-associated factor, 50kDa [Source:HGNC Symbol;Acc:HGNC:11548]	1	462	468	4.45964149652842	0	0	
ENSG00000102445	ENST00000429979	ENSP00000396935	80183	KIAA0226L	KIAA0226-like [Source:HGNC Symbol;Acc:HGNC:20420]	1	662	859	3.91868557476827	0	0	
ENSG00000102837	ENST00000219022	ENSP00000219022	10562	OLFM4	olfactomedin 4 [Source:HGNC Symbol;Acc:HGNC:17190]	1	510	528	3.43963251142473	0	0	
ENSG00000102854	ENST00000382862	ENSP00000372313	10232	MSLN	mesothelin [Source:HGNC Symbol;Acc:HGNC:7371]	1	630	782	3.07659873031694	0	1	4
ENSG00000102893	ENST00000323584	ENSP00000313504	5257	PHKB	phosphorylase kinase, beta [Source:HGNC Symbol;Acc:HGNC:8927]	1	1093	1122	3.26958767466102	0	0	
ENSG00000102901	ENST00000562787	ENSP00000457810	80152	CENPT	centromere protein T [Source:HGNC Symbol;Acc:HGNC:25787]	1	561	623	3.32930412423963	0	0	
ENSG00000102977	ENST00000620338	ENSP00000483117	65057	ACD	adrenocortical dysplasia homolog (mouse) [Source:HGNC Symbol;Acc:HGNC:25070]	1	544	550	3.48037150579981	0	0	
ENSG00000103168	ENST00000567759	ENSP00000455265	9013	TAF1C	TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa [Source:HGNC Symbol;Acc:HGNC:11534]	1	869	908	3.15140878046547	0	0	
ENSG00000103494	ENST00000379925	ENSP00000369257	23322	RPGRIP1L	RPGRIP1-like [Source:HGNC Symbol;Acc:HGNC:29168]	1	1315	1369	3.12384685978822	0	0	
ENSG00000104177	ENST00000324324	ENSP00000316950	50804	MYEF2	myelin expression factor 2 [Source:HGNC Symbol;Acc:HGNC:17940]	2	600	600	3.17827251265932	0	1	2
ENSG00000104689	ENST00000221132	ENSP00000221132	8797	TNFRSF10A	tumor necrosis factor receptor superfamily, member 10a [Source:HGNC Symbol;Acc:HGNC:11904]	4	468	600	4.92868691774919	0	0	
ENSG00000104856	ENST00000221452	ENSP00000221452	5971	RELB	v-rel avian reticuloendotheliosis viral oncogene homolog B [Source:HGNC Symbol;Acc:HGNC:9956]	1	579	643	3.1615619646335	0	1	2
ENSG00000105053	ENST00000599538	ENSP00000469880	51231	VRK3	vaccinia related kinase 3 [Source:HGNC Symbol;Acc:HGNC:18996]	1	474	496	3.32446426632732	0	0	
ENSG00000105339	ENST00000262585	ENSP00000262585	22898	DENND3	DENN/MADD domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29134]	1	1198	1453	2.91349557635946	0	0	
ENSG00000105374	ENST00000221978	ENSP00000221978	4818	NKG7	natural killer cell granule protein 7 [Source:HGNC Symbol;Acc:HGNC:7830]	2	165	165	3.64299399587667	0	0	
ENSG00000105383	ENST00000262262	ENSP00000262262	945	CD33	CD33 molecule [Source:HGNC Symbol;Acc:HGNC:1659]	1	364	461	2.91314433022556	0	0	
ENSG00000105492	ENST00000425629	ENSP00000401502	946	SIGLEC6	sialic acid binding Ig-like lectin 6 [Source:HGNC Symbol;Acc:HGNC:10875]	5	453	558	5.1297368167496	0	0	
ENSG00000105612	ENST00000222219	ENSP00000222219	1777	DNASE2	deoxyribonuclease II, lysosomal [Source:HGNC Symbol;Acc:HGNC:2960]	2	360	452	4.12745887920554	0	0	
ENSG00000105939	ENST00000242351	ENSP00000242351	56829	ZC3HAV1	zinc finger CCCH-type, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]	3	902	1181	3.112147513996	1	0	
ENSG00000106066	ENST00000409850	ENSP00000387164	54504	CPVL	carboxypeptidase, vitellogenic-like [Source:HGNC Symbol;Acc:HGNC:14399]	1	476	476	4.03172640564163	0	0	
ENSG00000106603	ENST00000395879	ENSP00000379218	55744	COA1	cytochrome c oxidase assembly factor 1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:21868]	4	146	172	4.34461051372891	0	0	
ENSG00000106804	ENST00000223642	ENSP00000223642	727	C5	complement component 5 [Source:HGNC Symbol;Acc:HGNC:1331]	1	1676	1849	3.73993744461177	0	0	
ENSG00000106992	ENST00000373176	ENSP00000362271	203	AK1	adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]	1	194	210	3.71611802688975	0	1	2 3a
ENSG00000108622	ENST00000412356	ENSP00000415283	3384	ICAM2	intercellular adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:5345]	1	275	322	3.23718948654854	0	0	
ENSG00000109072	ENST00000226218	ENSP00000226218	7448	VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	1	478	561	3.86476258090501	0	0	
ENSG00000110074	ENST00000263578	ENSP00000263578	55572	FOXRED1	FAD-dependent oxidoreductase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26927]	1	486	570	3.2469007667453	0	0	
ENSG00000110448	ENST00000347785	ENSP00000342681	921	CD5	CD5 molecule [Source:HGNC Symbol;Acc:HGNC:1685]	2	495	508	3.3696856364726	0	0	
ENSG00000111729	ENST00000229332	ENSP00000229332	50856	CLEC4A	C-type lectin domain family 4, member A [Source:HGNC Symbol;Acc:HGNC:13257]	3	237	239	3.82274976583905	1	0	
ENSG00000112041	ENST00000229771	ENSP00000229771	7287	TULP1	tubby like protein 1 [Source:HGNC Symbol;Acc:HGNC:12423]	2	542	572	3.72118302002151	0	1	2
ENSG00000112077	ENST00000371175	ENSP00000360217	6005	RHAG	Rh-associated glycoprotein [Source:HGNC Symbol;Acc:HGNC:10006]	2	409	461	2.72489170777923	0	0	
ENSG00000112787	ENST00000434748	ENSP00000396160	57666	FBRSL1	fibrosin-like 1 [Source:HGNC Symbol;Acc:HGNC:29308]	3	1045	1310	3.62754450636742	1	0	
ENSG00000112996	ENST00000507110	ENSP00000424328	10884	MRPS30	mitochondrial ribosomal protein S30 [Source:HGNC Symbol;Acc:HGNC:8769]	1	439	469	3.48104006187081	0	0	
ENSG00000113088	ENST00000231009	ENSP00000231009	3003	GZMK	granzyme K (granzyme 3; tryptase II) [Source:HGNC Symbol;Acc:HGNC:4711]	1	264	264	3.86616521718838	0	0	
ENSG00000113600	ENST00000263408	ENSP00000263408	735	C9	complement component 9 [Source:HGNC Symbol;Acc:HGNC:1358]	3	559	591	3.78328821855975	0	0	
ENSG00000113905	ENST00000232003	ENSP00000232003	3273	HRG	histidine-rich glycoprotein [Source:HGNC Symbol;Acc:HGNC:5181]	1	525	541	2.98983199225874	0	0	
ENSG00000114023	ENST00000477892	ENSP00000419088	26355	FAM162A	family with sequence similarity 162, member A [Source:HGNC Symbol;Acc:HGNC:17865]	1	154	375	3.89955429143508	0	0	
ENSG00000114113	ENST00000232217	ENSP00000232217	5948	RBP2	retinol binding protein 2, cellular [Source:HGNC Symbol;Acc:HGNC:9920]	1	134	146	3.09950761405067	0	0	
ENSG00000114455	ENST00000357759	ENSP00000350402	11148	HHLA2	HERV-H LTR-associating 2 [Source:HGNC Symbol;Acc:HGNC:4905]	2	414	525	3.6861694547434	0	0	
ENSG00000114487	ENST00000232603	ENSP00000232603	27136	MORC1	MORC family CW-type zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:7198]	1	984	1097	4.12575382445586	0	0	
ENSG00000115425	ENST00000265322	ENSP00000265322	55825	PECR	peroxisomal trans-2-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:18281]	4	303	322	3.62450207877631	0	0	
ENSG00000116478	ENST00000373548	ENSP00000362649	3065	HDAC1	histone deacetylase 1 [Source:HGNC Symbol;Acc:HGNC:4852]	2	482	543	3.20200337388348	0	0	
ENSG00000116815	ENST00000369489	ENSP00000358501	965	CD58	CD58 molecule [Source:HGNC Symbol;Acc:HGNC:1688]	6	250	313	3.71012004900016	0	0	
ENSG00000117091	ENST00000613788	ENSP00000484431	962	CD48	CD48 molecule [Source:HGNC Symbol;Acc:HGNC:1683]	1	252	314	4.64922057699087	0	0	
ENSG00000117322	ENST00000367057	ENSP00000356024	1380	CR2	complement component (3d/Epstein Barr virus) receptor 2 [Source:HGNC Symbol;Acc:HGNC:2336]	2	1092	1118	3.36991697358684	0	0	
ENSG00000117335	ENST00000322875	ENSP00000313875	4179	CD46	CD46 molecule, complement regulatory protein [Source:HGNC Symbol;Acc:HGNC:6953]	1	399	529	3.91195525665282	0	0	
ENSG00000118094	ENST00000264029	ENSP00000264029	11181	TREH	trehalase (brush-border membrane glycoprotein) [Source:HGNC Symbol;Acc:HGNC:12266]	1	583	593	2.84213600925955	0	0	
ENSG00000118322	ENST00000327245	ENSP00000313600	23120	ATP10B	ATPase, class V, type 10B [Source:HGNC Symbol;Acc:HGNC:13543]	4	1461	1542	2.80829389195914	1	1	2
ENSG00000119608	ENST00000556489	ENSP00000451223	283571	PROX2	prospero homeobox 2 [Source:HGNC Symbol;Acc:HGNC:26715]	1	592	668	3.48117963249228	0	0	
ENSG00000120158	ENST00000381750	ENSP00000371169	10171	RCL1	RNA terminal phosphate cyclase-like 1 [Source:HGNC Symbol;Acc:HGNC:17687]	2	373	419	2.07456309888263	0	1	2
ENSG00000120251	ENST00000296526	ENSP00000296526	2891	GRIA2	glutamate receptor, ionotropic, AMPA 2 [Source:HGNC Symbol;Acc:HGNC:4572]	5	883	952	2.32749910296399	1	1	2
ENSG00000120498	ENST00000395889	ENSP00000379226	56159	TEX11	testis expressed 11 [Source:HGNC Symbol;Acc:HGNC:11733]	1	940	1061	5.00318057435481	0	0	
ENSG00000121270	ENST00000394747	ENSP00000378230	85320	ABCC11	ATP-binding cassette, sub-family C (CFTR/MRP), member 11 [Source:HGNC Symbol;Acc:HGNC:14639]	1	1382	1393	3.4257217288531	0	0	
ENSG00000121318	ENST00000240619	ENSP00000240619	50839	TAS2R10	taste receptor, type 2, member 10 [Source:HGNC Symbol;Acc:HGNC:14918]	1	307	320	4.35866937190446	0	0	
ENSG00000121797	ENST00000357392	ENSP00000349967	9034	CCRL2	chemokine (C-C motif) receptor-like 2 [Source:HGNC Symbol;Acc:HGNC:1612]	1	356	357	4.22126927421968	0	0	
ENSG00000122033	ENST00000381116	ENSP00000370508	219402	MTIF3	mitochondrial translational initiation factor 3 [Source:HGNC Symbol;Acc:HGNC:29788]	1	278	289	3.15002333959662	0	0	
ENSG00000122194	ENST00000308192	ENSP00000308938	5340	PLG	plasminogen [Source:HGNC Symbol;Acc:HGNC:9071]	6	810	1089	3.55113033570905	0	0	
ENSG00000122223	ENST00000368033	ENSP00000357012	51744	CD244	CD244 molecule, natural killer cell receptor 2B4 [Source:HGNC Symbol;Acc:HGNC:18171]	7	370	392	3.1662650627173	0	0	
ENSG00000122884	ENST00000263556	ENSP00000263556	5033	P4HA1	prolyl 4-hydroxylase, alpha polypeptide I [Source:HGNC Symbol;Acc:HGNC:8546]	3	534	660	2.84675788426	1	1	2
ENSG00000123838	ENST00000367070	ENSP00000356037	722	C4BPA	complement component 4 binding protein, alpha [Source:HGNC Symbol;Acc:HGNC:1325]	4	597	695	3.23412127672598	0	0	
ENSG00000124429	ENST00000262753	ENSP00000262753	79983	POF1B	premature ovarian failure, 1B [Source:HGNC Symbol;Acc:HGNC:13711]	1	589	609	3.84770653932631	0	1	3b
ENSG00000124731	ENST00000244709	ENSP00000244709	54210	TREM1	triggering receptor expressed on myeloid cells 1 [Source:HGNC Symbol;Acc:HGNC:17760]	5	234	371	3.69690403503486	1	0	
ENSG00000124749	ENST00000244728	ENSP00000244728	81578	COL21A1	collagen, type XXI, alpha 1 [Source:HGNC Symbol;Acc:HGNC:17025]	3	957	1007	3.90620788704278	1	1	2
ENSG00000124935	ENST00000244926	ENSP00000244926	10647	SCGB1D2	secretoglobin, family 1D, member 2 [Source:HGNC Symbol;Acc:HGNC:18396]	15	90	116	3.5822365472629	0	0	
ENSG00000125637	ENST00000245796	ENSP00000245796	23550	PSD4	pleckstrin and Sec7 domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19096]	1	1056	1247	2.87341933112586	0	1	5
ENSG00000125864	ENST00000377873	ENSP00000367104	631	BFSP1	beaded filament structural protein 1, filensin [Source:HGNC Symbol;Acc:HGNC:1040]	1	665	784	3.72849641560496	0	0	
ENSG00000125877	ENST00000380113	ENSP00000369456	3704	ITPA	inosine triphosphatase (nucleoside triphosphate pyrophosphatase) [Source:HGNC Symbol;Acc:HGNC:6176]	2	194	239	3.24584303238336	0	0	
ENSG00000126001	ENST00000397527	ENSP00000380661	11190	CEP250	centrosomal protein 250kDa [Source:HGNC Symbol;Acc:HGNC:1859]	2	2442	2728	3.1198368190915	0	0	
ENSG00000127241	ENST00000296280	ENSP00000296280	5648	MASP1	mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor) [Source:HGNC Symbol;Acc:HGNC:6901]	31	728	857	8.18100729761678	1	1	2
ENSG00000127324	ENST00000393330	ENSP00000377003	7103	TSPAN8	tetraspanin 8 [Source:HGNC Symbol;Acc:HGNC:11855]	12	237	237	2.62940981575766	0	0	
