Ensembl.Gene.ID	Ensembl.Transcript.ID	Ensembl.Protein.ID	UniProt.SwissProt.Accession	EntrezGene.ID	HGNC.symbol	Description	PSR.total	uncharacterized.gene.symbol	RLR	TLR.CLR.NLR.cytDNA	PRR.and.innate	secreted.UniProt	cell.membrane.UniProt	MitoCarta2	virus.interacting.human.proteins.phisto	virus.interacting.human.proteins.phisto.info	virus.infection.GenomeRNAi	virus.infection.GenomeRNAi.info	expression.mouse.immune.cells.immgen.all.14	expression.mouse.immune.cells.immgen.any	expression.mouse.immune.cells.immgen.info	differential.expression.virus.infection	human.adaptation
ENSG00000021852	ENST00000371237	ENSP00000360281	P07358	732	C8B	complement component 8, beta polypeptide [Source:HGNC Symbol;Acc:HGNC:1353]	1	0	0	0	1	1	0	0	0	NA	0	NA	0	0	NA	0	0
ENSG00000026103	ENST00000355740	ENSP00000347979	P25445	355	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	3	0	0	0	0	1	1	0	1	Human immunodeficiency virus 1 (HIV1) (B0FAM1); Human herpesvirus 4 (Epstein-Barr virus) STRAIN AG876 (P0C737); Human herpesvirus 4 (Epstein-Barr virus) STRAIN AG876 (Q1HVC8); Human herpesvirus 4 (Epstein-Barr virus) STRAIN AG876 (P0CK57); Human herpesvirus 4 (Epstein-Barr virus) STRAIN AG876 (P0CK50); Human papillomavirus TYPE 18 (HPV 18) (P06792); Human papillomavirus TYPE 6b (HPV 6b) (P06460); Human adenovirus 5 (P03246)	0	NA	0	1	ACTT8 B DC GN MF MO NKT PRET T4 T8	0	0
ENSG00000026751	ENST00000368043	ENSP00000357022	Q9NQ25	57823	SLAMF7	SLAM family member 7 [Source:HGNC Symbol;Acc:HGNC:21394]	1	0	0	0	1	0	0	0	0	NA	0	NA	0	1	ACTT8 B DC GDT MF MO NK NKT PROB T4 T8	0	0
ENSG00000043514	ENST00000316891	ENSP00000321810	Q9H3H1	54802	TRIT1	tRNA isopentenyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:20286]	1	0	0	0	0	0	0	1	0	NA	0	NA	0	1	ACTT8 B DC GDT MF MO NK NKT PRET PROB SP T4 T8	0	0
ENSG00000046774	ENST00000247452	ENSP00000354660	Q9UBF1	51438	MAGEC2	melanoma antigen family C, 2 [Source:HGNC Symbol;Acc:HGNC:13574]	5	0	0	0	0	0	0	0	0	NA	0	NA	0	0	NA	0	0
ENSG00000049883	ENST00000380639	ENSP00000370013	Q8WV60	79810	PTCD2	pentatricopeptide repeat domain 2 [Source:HGNC Symbol;Acc:HGNC:25734]	1	0	0	0	0	0	0	1	0	NA	0	NA	0	1	ACTT8 B DC GDT MF MO NK NKT PRET PROB SP T4 T8	0	0
ENSG00000050344	ENST00000056233	ENSP00000056233	Q9Y4A8	9603	NFE2L3	nuclear factor, erythroid 2-like 3 [Source:HGNC Symbol;Acc:HGNC:7783]	1	0	0	0	0	0	0	0	0	NA	1	Decreased human papilloma virus 16 (HPV16) pseudovirus infection	0	1	ACTT8 B DC NK NKT PRET T4 T8	1	0
ENSG00000055955	ENST00000266041	ENSP00000266041	Q14624	3700	ITIH4	inter-alpha-trypsin inhibitor heavy chain family, member 4 [Source:HGNC Symbol;Acc:HGNC:6169]	2	0	0	0	0	1	0	0	0	NA	0	NA	0	0	NA	0	0
ENSG00000062096	ENST00000381127	ENSP00000370519	P54793	416	ARSF	arylsulfatase F [Source:HGNC Symbol;Acc:HGNC:721]	1	0	0	0	0	1	0	0	0	NA	0	NA	0	0	NA	0	0
ENSG00000063127	ENST00000335875	ENSP00000338627	Q9GZN6	28968	SLC6A16	solute carrier family 6, member 16 [Source:HGNC Symbol;Acc:HGNC:13622]	1	0	0	0	0	0	0	0	0	NA	0	NA	0	0	NA	0	0
ENSG00000068985	ENST00000376150	ENSP00000365320	O75459	8712	PAGE1	P antigen family, member 1 (prostate associated) [Source:HGNC Symbol;Acc:HGNC:4107]	6	0	0	0	0	0	0	0	0	NA	1	Decreased human papilloma virus 16 (HPV16) pseudovirus infection	0	0	NA	0	0
ENSG00000069974	ENST00000396307	ENSP00000379601	P51159	5873	RAB27A	RAB27A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9766]	1	0	0	0	0	0	0	0	0	NA	0	NA	1	1	ACTT8 B DC GDT GN MF MO NK NKT PRET PROB SP T4 T8	0	0
ENSG00000071203	ENST00000016913	ENSP00000016913	Q9NXJ0	54860	MS4A12	membrane-spanning 4-domains, subfamily A, member 12 [Source:HGNC Symbol;Acc:HGNC:13370]	15	0	0	0	0	0	0	0	0	NA	0	NA	0	0	NA	0	0
ENSG00000075218	ENST00000454366	ENSP00000415430	Q9NYZ3	51512	GTSE1	G-2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:HGNC:13698]	1	0	0	0	0	0	0	0	0	NA	0	NA	0	1	ACTT8 B DC GDT MF MO NKT PRET PROB SP T8	0	0
ENSG00000077238	ENST00000395762	ENSP00000379111	P24394	3566	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	3	0	0	0	1	1	1	0	0	NA	0	NA	1	1	ACTT8 B DC GDT GN MF MO NK NKT PRET PROB SP T4 T8	0	0
ENSG00000079263	ENST00000392045	ENSP00000375899	Q13342	11262	SP140	SP140 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:17133]	2	0	0	0	0	0	0	0	1	Human immunodeficiency virus 1 (HIV1) (Q77YG0); Human immunodeficiency virus 1 (HIV1) (Q77YG0); Human immunodeficiency virus 1 (HIV1) (A0EXJ0)	0	NA	1	1	ACTT8 B DC GDT GN MF MO NK NKT PRET PROB SP T4 T8	0	0
ENSG00000081237	ENST00000442510	ENSP00000411355	P08575	5788	PTPRC	protein tyrosine phosphatase, receptor type, C [Source:HGNC Symbol;Acc:HGNC:9666]	26	0	0	0	1	0	0	0	0	NA	0	NA	1	1	ACTT8 B DC GDT GN MF MO NK NKT PRET PROB SP T4 T8	0	0
ENSG00000085063	ENST00000395850	ENSP00000379191	P13987	966	CD59	CD59 molecule, complement regulatory protein [Source:HGNC Symbol;Acc:HGNC:1689]	15	0	0	0	0	1	1	0	1	Human immunodeficiency virus 1 (HIV1) (B9A2Q4); Human immunodeficiency virus 1 (HIV1) (B9A2Q4); Human immunodeficiency virus 1 (HIV1) (B9A2Q4); Human immunodeficiency virus 1 (HIV1) (Q77YG1); Human immunodeficiency virus 1 (HIV1) (Q77YG1); Human immunodeficiency virus 1 (HIV1) (Q77YG1); Human immunodeficiency virus 1 (HIV1) (Q77YG0); Human immunodeficiency virus 1 (HIV1) (Q77YG0); Human immunodeficiency virus 1 (HIV1) (Q77YG0); Human immunodeficiency virus 1 (HIV1) (Q79822); Human immunodeficiency virus 1 (HIV1) (Q79822); Human immunodeficiency virus 1 (HIV1) (Q79822); Human immunodeficiency virus 1 (HIV1) (B0FAM1); Human immunodeficiency virus 1 (HIV1) (Q71B33); Human immunodeficiency virus 1 (HIV1) (Q71B33); Human immunodeficiency virus 1 (HIV1) (Q71B33); Hepatitis B virus (Q778I9); Hepatitis B virus (Q778I9); Hepatitis B virus (Q778I9)	0	NA	0	0	NA	0	0
